FY25,7,8,9,10,11,12,1,2,3,4,5,6,Total,,,,,,,,,,,,,,,,
50 – Poplar," 25,085 "," 26,707 "," 22,223 "," 25,421 "," 21,063 "," 19,542 "," 18,900 "," 19,029 "," 24,114 "," 24,669 "," 23,548 "," 22,317 "," 272,618 ",,,,,,,,,,,,,,,,
36 – Lamar," 25,393 "," 25,707 "," 21,124 "," 23,474 "," 21,202 "," 18,712 "," 16,814 "," 17,495 "," 21,983 "," 22,244 "," 21,714 "," 21,619 "," 257,481 ",,,,,,,,,,,,,,,,
42 – Crosstown," 21,113 "," 21,599 "," 19,860 "," 22,309 "," 19,731 "," 17,873 "," 15,785 "," 16,192 "," 18,153 "," 18,278 "," 15,871 "," 16,915 "," 223,679 ",,,,,,,,,,,,,,,,
52 – Jackson," 15,931 "," 16,077 "," 14,221 "," 16,506 "," 14,326 "," 13,429 "," 12,982 "," 12,242 "," 13,555 "," 13,967 "," 13,603 "," 12,932 "," 169,771 ",,,,,,,,,,,,,,,,
8 - Chelsea & Highland," 14,225 "," 14,557 "," 13,831 "," 15,513 "," 13,473 "," 13,137 "," 11,311 "," 10,510 "," 12,952 "," 13,228 "," 13,430 "," 13,585 "," 159,752 ",,,,,,,,,,,,,,,,
57 - Park," 13,283 "," 14,369 "," 11,820 "," 13,531 "," 12,447 "," 9,436 "," 9,271 "," 9,500 "," 11,876 "," 11,354 "," 10,088 "," 9,417 "," 136,392 ",,,,,,,,,,,,,,,,
39 - S. Third," 12,492 "," 11,889 "," 11,516 "," 13,077 "," 9,973 "," 9,772 "," 8,288 "," 8,636 "," 10,909 "," 11,363 "," 10,948 "," 10,615 "," 129,478 ",,,,,,,,,,,,,,,,
11 – Frayser," 10,748 "," 11,620 "," 11,116 "," 12,435 "," 9,590 "," 8,388 "," 8,881 "," 8,458 "," 9,121 "," 9,981 "," 8,757 "," 8,801 "," 117,896 ",,,,,,,,,,,,,,,,
32 – Hollywood & Hawkins Mill," 10,182 "," 10,925 "," 10,063 "," 11,754 "," 8,278 "," 8,673 "," 6,980 "," 6,969 "," 8,605 "," 8,248 "," 8,167 "," 8,136 "," 106,980 ",,,,,,,,,,,,,,,,
1 - Union," 9,088 "," 9,668 "," 9,438 "," 9,609 "," 7,706 "," 6,899 "," 7,181 "," 7,251 "," 8,692 "," 9,342 "," 8,548 "," 8,477 "," 101,899 ",,,,,,,,,,,,,,,,
53 - Summer," 7,839 "," 7,449 "," 6,606 "," 8,415 "," 6,355 "," 5,128 "," 5,058 "," 5,211 "," 6,843 "," 7,018 "," 7,431 "," 6,798 "," 80,151 ",,,,,,,,,,,,,,,,
2 - Madison," 6,705 "," 6,684 "," 6,303 "," 6,489 "," 6,159 "," 5,782 "," 4,873 "," 4,345 "," 6,025 "," 6,040 "," 6,353 "," 6,004 "," 71,762 ",,,,,,,,,,,,,,,,
12 - Mallory," 5,185 "," 6,942 "," 5,490 "," 6,667 "," 5,587 "," 5,105 "," 4,939 "," 4,518 "," 6,141 "," 6,596 "," 5,479 "," 5,249 "," 67,898 ",,,,,,,,,,,,,,,,
4 - Walker," 5,973 "," 6,496 "," 5,431 "," 5,446 "," 4,973 "," 4,626 "," 4,272 "," 4,884 "," 4,866 "," 5,860 "," 5,457 "," 4,989 "," 63,273 ",,,,,,,,,,,,,,,,
19 - Vollintine," 6,114 "," 6,008 "," 5,140 "," 5,793 "," 5,080 "," 4,689 "," 4,605 "," 3,730 "," 4,751 "," 5,382 "," 4,482 "," 4,502 "," 60,276 ",,,,,,,,,,,,,,,,
40 – Stage," 5,445 "," 5,607 "," 4,618 "," 4,969 "," 5,126 "," 4,398 "," 3,874 "," 4,165 "," 5,358 "," 4,570 "," 4,764 "," 4,692 "," 57,586 ",,,,,,,,,,,,,,,,
